1741227505.6417606,0,0.14705882352941177
1741227507.6936433,2000,0.14705882352941177
1741227510.7204547,4000,0.14705882352941177
1741227511.6036577,6000,0.14705882352941177
1741227519.7340384,0,0.14705882352941177
1741227521.718281,2000,0.17647058823529413
1741227523.7464423,4000,0.17647058823529413
1741227524.6407204,6000,0.17647058823529413
1741227526.4142478,8000,0.17647058823529413
1741227528.349694,10000,0.17647058823529413
1741227529.1959436,12000,0.17647058823529413
1741227531.0121772,14000,0.17647058823529413
1741227533.0012417,16000,0.17647058823529413
1741227533.893651,18000,0.17647058823529413
1741227535.673912,20000,0.17647058823529413
1741227537.7155023,22000,0.17647058823529413
1741227538.612485,24000,0.17647058823529413
1741227540.4578469,26000,0.17647058823529413
1741227542.6120481,28000,0.17647058823529413
1741227543.599093,30000,0.17647058823529413
